	filter	window	alpha	lag	alphaLP	alphaHP	no mismatchess	Key Lenght	Key Sattus	Key bit Mismatches	Key bit Matches	key bit mismatches %	Seq bit Mismatches	Seq bit Matches	Seq bit mismatches %
0	nearest neighbour	2	    -    	    -    	    -    	    -    	3	207	False	3	204	0.0145	5828	34172	0.1457
1	nearest neighbour	3	    -    	    -    	    -    	    -    	4	193	False	4	189	0.0207	7232	32768	0.1808
2	nearest neighbour	4	    -    	    -    	    -    	    -    	2	196	False	2	194	0.0102	7021	32979	0.1755
3	nearest neighbour	5	    -    	    -    	    -    	    -    	6	201	False	6	195	0.0299	7027	32973	0.1757
4	nearest neighbour	6	    -    	    -    	    -    	    -    	9	197	False	9	188	0.0457	6890	33110	0.1722
5	nearest neighbour	7	    -    	    -    	    -    	    -    	4	184	False	4	180	0.0217	6794	33206	0.1699
6	nearest neighbour	8	    -    	    -    	    -    	    -    	7	200	False	7	193	0.035	6567	33433	0.1642
7	nearest neighbour	9	    -    	    -    	    -    	    -    	6	202	False	6	196	0.0297	6323	33677	0.1581
8	nearest neighbour	10	    -    	    -    	    -    	    -    	6	205	False	6	199	0.0293	6165	33835	0.1541
9	nearest neighbour	20	    -    	    -    	    -    	    -    	4	216	False	4	212	0.0185	5338	34662	0.1335
10	nearest neighbour	30	    -    	    -    	    -    	    -    	4	220	False	4	216	0.0182	4827	35173	0.1207
11	nearest neighbour	40	    -    	    -    	    -    	    -    	2	229	False	2	227	0.0087	4548	35452	0.1137
12	nearest neighbour	50	    -    	    -    	    -    	    -    	1	232	False	1	231	0.0043	4367	35633	0.1092
13	nearest neighbour	60	    -    	    -    	    -    	    -    	1	240	False	1	239	0.0042	4229	35771	0.1057
14	nearest neighbour	70	    -    	    -    	    -    	    -    	1	238	False	1	237	0.0042	3896	36104	0.0974
15	nearest neighbour	80	    -    	    -    	    -    	    -    	2	238	False	2	236	0.0084	3783	36217	0.0946
16	nearest neighbour	90	    -    	    -    	    -    	    -    	2	231	False	2	229	0.0087	3801	36199	0.095
17	nearest neighbour	100	    -    	    -    	    -    	    -    	1	237	False	1	236	0.0042	3672	36328	0.0918
18	nearest neighbour	200	    -    	    -    	    -    	    -    	1	237	False	1	236	0.0042	3449	36551	0.0862
19	nearest neighbour	300	    -    	    -    	    -    	    -    	1	232	False	1	231	0.0043	3177	36823	0.0794
20	nearest neighbour	400	    -    	    -    	    -    	    -    	2	239	False	2	237	0.0084	3197	36803	0.0799
21	nearest neighbour	500	    -    	    -    	    -    	    -    	2	236	False	2	234	0.0085	3140	36860	0.0785
22	nearest neighbour	600	    -    	    -    	    -    	    -    	2	240	False	2	238	0.0083	3137	36863	0.0784
23	nearest neighbour	700	    -    	    -    	    -    	    -    	4	238	False	4	234	0.0168	3260	36740	0.0815
24	nearest neighbour	800	    -    	    -    	    -    	    -    	3	239	False	3	236	0.0126	3102	36898	0.0775
25	nearest neighbour	900	    -    	    -    	    -    	    -    	2	237	False	2	235	0.0084	3117	36883	0.0779
26	nearest neighbour	1000	    -    	    -    	    -    	    -    	4	247	False	4	243	0.0162	3054	36946	0.0764
27	nearest neighbour	2000	    -    	    -    	    -    	    -    	1	281	False	1	280	0.0036	2485	37515	0.0621
28	nearest neighbour	3000	    -    	    -    	    -    	    -    	1	280	False	1	279	0.0036	1977	38023	0.0494
29	nearest neighbour	4000	    -    	    -    	    -    	    -    	1	280	False	1	279	0.0036	2169	37831	0.0542
30	nearest neighbour	5000	    -    	    -    	    -    	    -    	2	281	False	2	279	0.0071	1764	38236	0.0441
31	lowpass lagged	    -    	0.0	1	    -    	    -    	0	278	True	0	278	0.0	591	39407	0.0148
32	lowpass lagged	    -    	0.0	2	    -    	    -    	2	230	False	2	228	0.0087	1313	38683	0.0328
33	lowpass lagged	    -    	0.0	3	    -    	    -    	2	231	False	2	229	0.0087	2007	37987	0.0502
34	lowpass lagged	    -    	0.0	4	    -    	    -    	0	241	True	0	241	0.0	2543	37449	0.0636
35	lowpass lagged	    -    	0.0	5	    -    	    -    	20	177	False	20	157	0.113	5982	34008	0.1496
36	lowpass lagged	    -    	0.0	6	    -    	    -    	11	203	False	11	192	0.0542	2806	37182	0.0702
37	lowpass lagged	    -    	0.0	7	    -    	    -    	0	254	True	0	254	0.0	6706	33280	0.1677
38	lowpass lagged	    -    	0.0	8	    -    	    -    	10	183	False	10	173	0.0546	4274	35710	0.1069
39	lowpass lagged	    -    	0.0	9	    -    	    -    	1	255	False	1	254	0.0039	1046	38936	0.0262
40	lowpass lagged	    -    	0.0	10	    -    	    -    	0	282	True	0	282	0.0	1946	38034	0.0487
