,m (length of),alpha,n (block size),tau (decision threshold),No_mism (expected number of mismatches),L  (expected length of final key),expected number of mismatches (%)
0,50,0.1,3,1,1.4,50,2.8
1,50,0.1,4,1,0.185,47.57,0.3889
2,50,0.1,5,1,0.023,45.95,0.05005
3,50,0.1,5,2,0.428,50,0.856
4,50,0.1,6,1,0.0028,44.2895,0.00632
5,50,0.1,6,2,0.0635,49.271,0.12888
6,50,0.1,7,1,0.0003,42.5156,0.00071
7,50,0.1,7,2,0.0088,48.7242,0.01806
8,50,0.1,7,3,0.1364,50,0.2728
9,50,0.1,8,1,0,40.6553,0
10,50,0.1,8,2,0.0012,48.0966,0.00249
11,50,0.1,8,3,0.0216,49.7704,0.0434
12,50,0.1,9,1,0,38.7421,0
13,50,0.1,9,2,0.0001,47.3515,0.00021
14,50,0.1,9,3,0.0032,49.5867,0.00645
15,50,0.1,9,4,0.0445,50,0.089
16,50,0.1,10,1,0,36.8049,0
17,50,0.1,10,2,0,46.4905,0
18,50,0.1,10,3,0.0005,49.3607,0.00101
19,50,0.1,10,4,0.0073,49.9256,0.01462
20,50,0.1,11,1,0,34.8678,0
21,50,0.1,11,2,0,45.5219,0
22,50,0.1,11,3,0.0001,49.0733,0.0002
23,50,0.1,11,4,0.0011,49.8636,0.00221
24,50,0.1,11,5,0.0148,50,0.0296
25,50,0.1,12,1,0,32.9501,0
26,50,0.1,12,2,0,44.4565,0
27,50,0.1,12,3,0,48.7181,0
28,50,0.1,12,4,0.0002,49.7837,0.0004
29,50,0.1,12,5,0.0025,49.9754,0.005
30,50,0.1,13,1,0,31.0672,0
31,50,0.1,13,2,0,43.3059,0
32,50,0.1,13,3,0,48.292,0
33,50,0.1,13,4,0,49.677,0
34,50,0.1,13,5,0.0004,49.9544,0.0008
35,50,0.1,13,6,0.005,50,0.01
36,50,0.1,14,1,0,29.2315,0
37,50,0.1,14,2,0,42.082,0
38,50,0.1,14,3,0,47.7934,0
39,50,0.1,14,4,0,49.5385,0
40,50,0.1,14,5,0.0001,49.9264,0.0002
41,50,0.1,14,6,0.0009,49.9918,0.0018
42,50,0.1,15,1,0,27.4522,0
43,50,0.1,15,2,0,40.7969,0
44,50,0.1,15,3,0,47.2222,0
45,50,0.1,15,4,0,49.364,0
46,50,0.1,15,5,0,49.8875,0
47,50,0.1,15,6,0.0001,49.9846,0.0002
48,50,0.1,15,7,0.0017,50,0.0034
49,50,0.1,16,1,0,25.7364,0
50,50,0.1,16,2,0,39.4625,0
51,50,0.1,16,3,0,46.5797,0
52,50,0.1,16,4,0,49.1498,0
53,50,0.1,16,5,0,49.8352,0
54,50,0.1,16,6,0,49.9748,0
55,50,0.1,16,7,0.0003,49.9972,0.0006
56,50,0.1,17,1,0,24.0893,0
57,50,0.1,17,2,0,38.0899,0
58,50,0.1,17,3,0,45.868,0
59,50,0.1,17,4,0,48.8928,0
60,50,0.1,17,5,0,49.7666,0
61,50,0.1,17,6,0,49.9608,0
62,50,0.1,17,7,0,49.9948,0
63,50,0.1,17,8,0.0006,50,0.0012
64,50,0.1,18,1,0,22.5142,0
65,50,0.1,18,2,0,36.6898,0
66,50,0.1,18,3,0,45.0902,0
67,50,0.1,18,4,0,48.5903,0
68,50,0.1,18,5,0,49.6792,0
69,50,0.1,18,6,0,49.9414,0
70,50,0.1,18,7,0,49.9913,0
71,50,0.1,18,8,0.0001,49.9991,0.0002
72,50,0.1,19,1,0,21.0132,0
73,50,0.1,19,2,0,35.2722,0
74,50,0.1,19,3,0,44.2501,0
75,50,0.1,19,4,0,48.2403,0
76,50,0.1,19,5,0,49.5703,0
77,50,0.1,19,6,0,49.9152,0
78,50,0.1,19,7,0,49.9863,0
79,50,0.1,19,8,0,49.9982,0
80,50,0.1,19,9,0.0002,50,0.0004
81,50,0.1,20,1,0,19.5873,0
82,50,0.1,20,2,0,33.8463,0
83,50,0.1,20,3,0,43.3523,0
84,50,0.1,20,4,0,47.8413,0
85,50,0.1,20,5,0,49.4373,0
86,50,0.1,20,6,0,49.8807,0
87,50,0.1,20,7,0,49.9792,0
88,50,0.1,20,8,0,49.997,0
89,50,0.1,20,9,0,49.9997,0
90,50,0.15,3,1,1.4,50,2.8
91,50,0.15,4,1,0.185,45.1231,0.40999
92,50,0.15,5,1,0.023,41.8719,0.05493
93,50,0.15,5,2,0.428,50,0.856
94,50,0.15,6,1,0.0028,38.8441,0.00721
95,50,0.15,6,2,0.0635,47.9273,0.13249
96,50,0.15,7,1,0.0003,35.8327,0.00084
97,50,0.15,7,2,0.0088,46.3728,0.01898
98,50,0.15,7,3,0.1364,50,0.2728
99,50,0.15,8,1,0,32.8597,0
100,50,0.15,8,2,0.0012,44.7515,0.00268
101,50,0.15,8,3,0.0216,49.0751,0.04401
102,50,0.15,9,1,0,29.9741,0
103,50,0.15,9,2,0.0001,42.9597,0.00023
104,50,0.15,9,3,0.0032,48.3351,0.00662
105,50,0.15,9,4,0.0445,50,0.089
106,50,0.15,10,1,0,27.215,0
107,50,0.15,10,2,0,41.0103,0
108,50,0.15,10,3,0.0005,47.5082,0.00105
109,50,0.15,10,4,0.0073,49.5755,0.01473
110,50,0.15,11,1,0,24.6093,0
111,50,0.15,11,2,0,38.9407,0
112,50,0.15,11,3,0.0001,46.5291,0.00021
113,50,0.15,11,4,0.0011,49.2217,0.00223
114,50,0.15,11,5,0.0148,50,0.0296
115,50,0.15,12,1,0,22.173,0
116,50,0.15,12,2,0,36.7909,0
117,50,0.15,12,3,0,45.39,0
118,50,0.15,12,4,0.0002,48.8075,0.00041
119,50,0.15,12,5,0.0025,49.8015,0.00502
120,50,0.15,13,1,0,19.9138,0
121,50,0.15,13,2,0,34.5982,0
122,50,0.15,13,3,0,44.0999,0
123,50,0.15,13,4,0,48.2925,0
124,50,0.15,13,5,0.0004,49.6314,0.00081
125,50,0.15,13,6,0.005,50,0.01
126,50,0.15,14,1,0,17.8336,0
127,50,0.15,14,2,0,32.3956,0
128,50,0.15,14,3,0,42.6746,0
129,50,0.15,14,4,0,47.6631,0
130,50,0.15,14,5,0.0001,49.4255,0.0002
131,50,0.15,14,6,0.0009,49.906,0.0018
132,50,0.15,15,1,0,15.9293,0
